ecotype_size,npop,omega,sigma,likelihood
6,4,0.00010,0.26301,0.097800
9,5,0.00018,0.70813,0.15320
1,2,0.00404,0.25557,0.029600
5,3,0.00199,0.27921,0.082300
9,5,0.00009,0.64378,0.19050
5,3,0.00696,0.37936,0.10280
9,5,0.00003,0.63550,0.33020
6,4,0.00178,0.80476,0.096200
9,5,0.00073,0.75681,0.13370
9,5,0.00287,0.81873,0.12930
9,5,0.00001,0.52365,0.18750
9,5,0.00022,0.81612,0.13290
9,5,0.00003,0.66184,0.23790
9,5,0.00056,1.02429,0.18960
9,5,0.00023,0.33204,0.22250
9,5,0.00001,0.08545,0.028400
12,6,0.00058,1.48787,0.011800
5,3,0.00195,0.27589,0.12030
9,5,0.00041,0.72274,0.12700
6,4,0.00928,0.41951,0.14510
9,5,0.00077,0.25632,0.18130
9,5,0.00023,0.71557,0.21500
9,5,0.00002,0.56803,0.14220
6,4,0.00045,0.22611,0.13930
6,4,0.00748,0.80957,0.13090
5,3,0.00047,0.44742,0.10790
6,4,0.00831,0.52286,0.15760
5,3,0.00220,0.35175,0.10910
9,5,0.00009,0.57083,0.13950
9,5,0.01001,1.36844,0.29940
6,4,0.00101,0.34803,0.12850
6,4,0.00000,1.08858,0.17160
12,6,0.00004,0.45525,0.0039000
9,5,0.00026,0.49748,0.28620
12,6,0.04927,1.47688,0.26740
5,3,0.00161,0.19771,0.13050
9,5,0.00003,0.09799,0.039000
6,4,0.00074,0.24449,0.14200
5,3,0.00381,0.30344,0.094700
6,4,0.00139,0.40879,0.12620
5,3,0.00370,0.40800,0.10690
6,4,0.00104,0.59803,0.15120
9,5,0.00000,0.53088,0.29070
9,5,0.00008,0.28221,0.075600
9,5,0.00001,0.11074,0.044800
9,5,0.00000,0.07980,0.038700
9,5,0.00003,0.58957,0.21290
6,4,0.00245,0.49134,0.16430
9,5,0.01740,1.29856,0.19050
5,3,0.00202,0.86753,0.048800
5,3,0.00421,0.40423,0.097300
6,4,0.00028,0.20432,0.13050
12,6,0.00133,1.13981,0.078400
5,3,0.00125,0.31300,0.067900
6,4,0.00024,0.20683,0.12380
5,3,0.00168,0.30825,0.091400
6,4,0.00336,0.68635,0.18390
6,4,0.00008,0.35793,0.13690
5,3,0.00302,0.37697,0.10420
13,7,0.08245,1.52397,0.25830
9,5,0.00147,0.72710,0.21910
6,4,0.00035,0.22195,0.13340
9,5,0.00249,0.88536,0.12950
6,4,0.00117,0.36795,0.13350
9,5,0.00013,0.82745,0.23210
6,4,0.00127,0.41406,0.13050
9,5,0.00006,0.61514,0.12010
12,6,0.06890,1.49718,0.12520
5,3,0.90617,0.68898,0.040200
6,4,0.00023,0.21331,0.12840
9,5,0.00052,0.66964,0.20780
9,5,0.00008,0.55463,0.20280
6,4,0.00105,0.35179,0.13400
5,3,0.00117,0.27660,0.13270
1,2,0.00111,0.25488,0.035500
9,5,0.00196,1.21400,0.30170
5,3,0.00246,0.18673,0.11710
9,5,0.00015,0.81643,0.12980
5,3,0.00224,0.55024,0.10210
5,3,0.00995,0.54559,0.087100
5,3,0.00131,0.19869,0.10420
9,5,0.00012,0.72179,0.24440
5,3,0.00208,1.11705,0.091900
6,4,0.00345,0.74705,0.19620
5,3,0.00125,0.35944,0.11240
9,5,0.00010,0.63571,0.12830
5,3,0.00199,0.16608,0.11980
9,5,0.00110,0.58064,0.20650
5,3,0.00160,0.40140,0.050800
5,3,0.00043,0.92801,0.090000
5,3,0.00044,0.26444,0.062700
6,4,0.00043,0.18169,0.14120
9,5,0.01592,1.10931,0.20740
5,3,0.00110,0.30630,0.065700
5,3,0.00186,0.41334,0.10200
9,5,0.00030,0.36425,0.13060
5,3,0.00152,0.48249,0.057800
9,5,0.00000,0.06933,0.028900
5,3,0.00587,0.36907,0.077200
6,4,0.00353,0.59509,0.10700
6,4,0.00071,0.32575,0.13180
5,3,0.00096,0.21962,0.10860
6,4,0.00743,0.30843,0.14480
5,3,0.00166,0.65104,0.10960
6,4,0.00008,0.29443,0.11150
